ProviderID,FirstName,LastName,Specialization,DeptID,NPI
H1-PROV0001,Brandon,Harper,Oncology,DEPT018,3086631719
H1-PROV0002,Luke,Clark,Emergency Medicine,DEPT006,1265568618
H1-PROV0003,Brandon,Austin,Pediatrics,DEPT014,3152052791
H1-PROV0004,Anthony,Jones,Radiology,DEPT011,8195895822
H1-PROV0005,Courtney,Flores,Anesthesiology,DEPT009,4159583915
H1-PROV0006,Ricky,Johnson,Neurology,DEPT017,7386802836
H1-PROV0007,John,Carroll,Neurology,DEPT014,9500252998
H1-PROV0008,William,Stout,Emergency Medicine,DEPT005,3263108127
H1-PROV0009,Kelly,Cardenas,Neurology,DEPT005,971099357
H1-PROV0010,Dawn,Valdez,Psychiatry,DEPT008,8973799839
H1-PROV0011,Jennifer,Mcdonald,Emergency Medicine,DEPT002,3939322372
H1-PROV0012,Jennifer,Booth,Dermatology,DEPT004,3794188322
H1-PROV0013,Andrew,Reed,Pediatrics,DEPT006,5744228048
H1-PROV0014,Anthony,Edwards,Orthopedics,DEPT020,9041033020
H1-PROV0015,Harold,Avila,General Surgery,DEPT002,7383729324
H1-PROV0016,Stephanie,Bridges,Psychiatry,DEPT020,7216378001
H1-PROV0017,Frank,Jordan,Neurology,DEPT005,6851568158
H1-PROV0018,Adrian,Butler,Emergency Medicine,DEPT010,5971052640
H1-PROV0019,Adrian,Bates,Emergency Medicine,DEPT010,4170579628
H1-PROV0020,Steven,Norris,Psychiatry,DEPT007,7463053156
H1-PROV0021,Elizabeth,Palmer,Pediatrics,DEPT016,4117507956
H1-PROV0022,Danielle,Morris,Oncology,DEPT014,8416170674
H1-PROV0023,Amanda,Johnson,Neurology,DEPT018,852786459
H1-PROV0024,Michael,Rios,Dermatology,DEPT005,1080067352
H1-PROV0025,Lisa,Schmitt,Radiology,DEPT003,8707948901
